product_id,product_category_name,category,weight_grams,length_cm,height_cm,width_cm,volume_cm3
1e9e8ef04dbcff4541ed26657ea517e5,perfumaria,perfumery,225,16,10,14,2240
3aa071139cb16b67ca9e5dea641aaa2f,artes,art,1000,30,18,20,10800
96bd76ec8810374ed1b65e291975717f,esporte_lazer,sports_leisure,154,18,9,15,2430
cef67bcfe19066a932b7673e239eb23d,bebes,baby,371,26,4,26,2704
9dc1a7de274444849c219cff195d0b71,utilidades_domesticas,housewares,625,20,17,13,4420
41d3672d4792049fa1779bb35283ed13,instrumentos_musicais,musical_instruments,200,38,5,11,2090
732bd381ad09e530fe0a5f457d81becb,cool_stuff,cool_stuff,18350,70,24,44,73920
2548af3e6e77a690cf3eb6368e9ab61e,moveis_decoracao,furniture_decor,900,40,8,40,12800
37cc742be07708b53a98702e77a21a02,eletrodomesticos,home_appliances,400,27,13,17,5967
8c92109888e8cdf9d66dc7e463025574,brinquedos,toys,600,17,10,12,2040
14aa47b7fe5c25522b47b4b29c98dcb9,cama_mesa_banho,bed_bath_table,1100,16,10,16,2560
03b63c5fc16691530586ae020c345514,bebes,baby,7150,50,19,45,42750
cf55509ea8edaaac1d28fdb16e48fc22,instrumentos_musicais,musical_instruments,250,17,7,17,2023
7bb6f29c2be57716194f96496660c7c2,moveis_decoracao,furniture_decor,600,68,11,13,9724
eb31436580a610f202c859463d8c7415,construcao_ferramentas_seguranca,construction_tools_safety,200,17,7,17,2023
3bb7f144022e6732727d8d838a7b13b3,esporte_lazer,sports_leisure,800,16,2,11,352
6a2fb4dd53d2cdb88e0432f1284a004c,perfumaria,perfumery,400,27,5,20,2700
a1b71017a84f92fd8da4aeefba108a24,informatica_acessorios,computers_accessories,900,40,15,20,12000
a0736b92e52f6cead290e30b578413b6,moveis_decoracao,furniture_decor,1700,100,7,15,10500
f53103a77d9cf245e579ea37e5ec51f0,cama_mesa_banho,bed_bath_table,500,16,10,16,2560
